,human_ensembl,human_symbol,mouse_ensembl,mouse_symbol
812,ENSG00000148688,RPP30,ENSMUSG00000024800,Rpp30
813,ENSG00000049541,RFC2,ENSMUSG00000023104,Rfc2
814,ENSG00000163918,RFC4,ENSMUSG00000022881,Rfc4
815,ENSG00000156508,EEF1A1,missing37,missing37
816,ENSG00000185262,UBALD2,ENSMUSG00000050628,Ubald2
817,ENSG00000167088,SNRPD1,ENSMUSG00000002477,Snrpd1
818,ENSG00000164649,CDCA7L,ENSMUSG00000021175,Cdca7l
819,ENSG00000156976,EIF4A2,ENSMUSG00000022884,Eif4a2
820,ENSG00000056050,HPF1,ENSMUSG00000038005,Hpf1
821,ENSG00000163535,SGO2,ENSMUSG00000026039,Sgo2a
822,ENSG00000134453,RBM17,ENSMUSG00000037197,Rbm17
823,ENSG00000117697,NSL1,ENSMUSG00000062510,Nsl1
824,ENSG00000128245,YWHAH,ENSMUSG00000018965,Ywhah
825,ENSG00000157456,CCNB2,ENSMUSG00000032218,Ccnb2
826,ENSG00000005022,SLC25A5,ENSMUSG00000016319,Slc25a5
827,ENSG00000154719,MRPL39,ENSMUSG00000022889,Mrpl39
828,ENSG00000119335,SET,missing38,missing38
829,ENSG00000179041,RRS1,ENSMUSG00000061024,Rrs1
830,ENSG00000161981,SNRNP25,ENSMUSG00000040767,Snrnp25
831,ENSG00000145833,DDX46,ENSMUSG00000021500,Ddx46
832,ENSG00000162980,ARL5A,ENSMUSG00000036093,Arl5a
833,ENSG00000042753,AP2S1,ENSMUSG00000008036,Ap2s1
834,ENSG00000012963,UBR7,ENSMUSG00000041712,Ubr7
835,ENSG00000125398,SOX9,ENSMUSG00000000567,Sox9
836,ENSG00000071539,TRIP13,ENSMUSG00000021569,Trip13
837,ENSG00000004897,CDC27,ENSMUSG00000020687,Cdc27
838,ENSG00000233639,PANTR1,missing39,missing39
839,ENSG00000148773,MKI67,ENSMUSG00000031004,Mki67
840,ENSG00000092140,G2E3,ENSMUSG00000035293,G2e3
841,ENSG00000105767,CADM4,ENSMUSG00000054793,Cadm4
842,ENSG00000101773,RBBP8,ENSMUSG00000041238,Rbbp8
843,ENSG00000168496,FEN1,ENSMUSG00000024742,Fen1
844,ENSG00000128951,DUT,ENSMUSG00000027203,Dut
845,ENSG00000135211,TMEM60,ENSMUSG00000045435,Tmem60
846,ENSG00000133169,BEX1,ENSMUSG00000050071,Bex1
847,ENSG00000099622,CIRBP,ENSMUSG00000045193,Cirbp
848,ENSG00000099783,HNRNPM,ENSMUSG00000059208,Hnrnpm
849,ENSG00000160888,IER2,ENSMUSG00000053560,Ier2
850,ENSG00000133818,RRAS2,ENSMUSG00000055723,Rras2
851,ENSG00000164106,SCRG1,ENSMUSG00000031610,Scrg1
852,ENSG00000204381,LAYN,ENSMUSG00000060594,Layn
853,ENSG00000168439,STIP1,ENSMUSG00000024966,Stip1
854,ENSG00000165916,PSMC3,ENSMUSG00000002102,Psmc3
855,ENSG00000117650,NEK2,ENSMUSG00000026622,Nek2
856,ENSG00000119326,CTNNAL1,ENSMUSG00000038816,Ctnnal1
857,ENSG00000106853,PTGR1,ENSMUSG00000028378,Ptgr1
858,ENSG00000160014,CALM3,ENSMUSG00000019370,Calm3
859,ENSG00000024526,DEPDC1,ENSMUSG00000028175,Depdc1a
860,ENSG00000103121,CMC2,missing40,missing40
